date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:33	242097/242097	---MCZ	200	added ('OK')	application/pdf	etag:W/%222d30112eba8dd755f643e10756bb6dd3%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/aeH00J1ZCF7ETR_i_Snackkarte.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/aeH00J1ZCF7ETR_i_Snackkarte.pdf	(from https://www.schloss-freudenfels.ch/de/auffahrt/index.html)
19:30:34	41863/41863	---MCZ	200	added ('OK')	application/pdf	etag:W/%225d97e8ce0ec9aa586effb34b12666acd%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ad4QUZ1ZCF7ETKpS_MenuKonzert.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ad4QUZ1ZCF7ETKpS_MenuKonzert.pdf	(from https://www.schloss-freudenfels.ch/de/auffahrt/index.html)
19:30:34	598423/598423	---MCZ	200	added ('OK')	application/pdf	etag:W/%22aefc8fc7465bf2e474e0b943bca0918c%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/6fa4b157-7c74-425b-bfae-57c82d0466b7_SF+Ga%cc%88stemappe+(Mobile)(EN).pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/SF%20Ga%CC%88stemappe%20%28Mobile%29%28EN%29.pdf	(from https://www.schloss-freudenfels.ch/en/hotel/index.html)
19:30:37	79226/79226	---MCZ	200	added ('OK')	application/pdf	etag:W/%22e5a6757b3bf2f061c09d0105fcf0de74%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/aeH6EZ1ZCF7ETSC7_MenuMetzgete.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/aeH6EZ1ZCF7ETSC7_MenuMetzgete.pdf	(from https://www.schloss-freudenfels.ch/de/metzgete/index.html)
19:30:38	3870693/3870693	---MCZ	200	added ('OK')	application/pdf	etag:W/%222700c9b518ea9cb0930fbecb0f1eb4bf%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/7b5ff25d-d9b9-417b-a1c4-7b18aa7af982_15_Feiern+auf+Schloss+Freudenfels_2023.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/15_Feiern%20auf%20Schloss%20Freudenfels_2023.pdf	(from https://www.schloss-freudenfels.ch/en/restaurant/index.html)
19:30:38	38479/38479	---MCZ	200	added ('OK')	application/pdf	etag:W/%226242077d1229af25ca5e1039ccb7f63b%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/abgCC7bci2UF6DEN_Men%c3%bcsOstertage.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/abgCC7bci2UF6DEN_Men%C3%BCsOstertage.pdf	(from https://www.schloss-freudenfels.ch/de/ostern/index.html)
19:30:38	689065/689065	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Jun%202026%2016:24:38%20GMT	https://images.prismic.io/schloss-freudenfels/adY2Mp1ZCF7ES9Rz_2.png?auto=format,compress?auto=compress,format	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/images.prismic.io/schloss-freudenfels/adY2Mp1ZCF7ES9Rz_293f3.jpg	(from https://www.schloss-freudenfels.ch/de/wild-event/index.html)
19:30:39	4933466/4933466	---MCZ	200	added ('OK')	application/pdf	etag:W/%223afc277101f5e4d7f967d61c0aaece28%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/b6532b56-ebb3-4906-af51-76720772b407_13_Hochzeitsdossier_Schloss+Freudenfels_2023.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/13_Hochzeitsdossier_Schloss%20Freudenfels_2023.pdf	(from https://www.schloss-freudenfels.ch/en/restaurant/index.html)
19:30:40	304212/304212	---MCZ	200	added ('OK')	application/pdf	etag:W/%22dcf8e5d6af4780a0ba41790821b695ff%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/abgEh7bci2UF6DI0_T%c3%a4glichesAngebot.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/abgEh7bci2UF6DI0_T%C3%A4glichesAngebot.pdf	(from https://www.schloss-freudenfels.ch/de/ostern/index.html)
19:30:40	22982/22982	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22137876b258672b76fd13fc80a9502d83%22	https://www.schloss-freudenfels.ch/de/lieferanten/www.tgmost.ch	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/lieferanten/www.tgmost.59.delayed	(from https://www.schloss-freudenfels.ch/de/lieferanten/index.html)
